Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed,Lifetime
0,Stargazer,Vigor Flask,Fissure,1,5,44,1,3020
1,Hexblade,Bandage,Fissure,1,0,10,1,656
2,Battlesmith,Echo Bolt,Fissure,1,0,8,1,591
3,Hexblade,Bandage,Fissure,1,3,95,1,4538
4,Battlesmith,Echo Bolt,Fissure,1,0,0,1,362
5,Battlesmith,Echo Bolt,Fissure,1,0,6,1,493
6,Spectre,Spring Plume,Fissure,1,0,10,1,672
7,Artillery,Accelerator,Fissure,1,0,8,1,1377
8,Spectre,Spring Plume,Fissure,1,0,6,1,535
9,Spectre,Spring Plume,Fissure,1,0,24,1,730
10,Cloudbreaker,Accelerator,Fissure,1,3,30,1,1922
11,Artillery,Accelerator,Fissure,1,0,3,1,409
12,Spectre,Spring Plume,Fissure,1,0,31,1,978
13,Artillery,Accelerator,Fissure,1,1,6,1,823
14,Spectre,Risk-It Biscuit,Fissure,1,3,66,1,727
15,Artillery,Accelerator,Fissure,1,1,46,1,1547
16,Spectre,Spring Plume,Fissure,1,0,77,0,0
17,Hexblade,Bandage,Fissure,1,0,0,1,217
18,Hexblade,Bandage,Fissure,1,0,20,1,560
19,Cloudbreaker,Spring Plume,Fissure,1,2,38,1,1034
20,Hexblade,Bandage,Fissure,1,1,19,0,0
21,Artillery,Accelerator,Fissure,1,0,4,0,0
22,Hexblade,Flame Trap,Fissure,1,0,0,0,0
23,Hexblade,Bandage,Dustworks,2,0,6,1,354
24,Evincer,Bandage,Dustworks,2,1,19,1,1064
25,Hexblade,Bandage,Dustworks,2,3,31,1,1643
26,Skirmisher,Bandage,Dustworks,2,0,24,1,1332
27,Battlesmith,Vigor Flask,Dustworks,2,0,6,1,309
28,Battlesmith,Flame Trap,Dustworks,2,0,14,1,1024
29,Dancer,Vigor Flask,Dustworks,2,0,0,1,266
30,Dancer,Vigor Flask,Dustworks,2,2,32,1,996
31,Hexblade,Bandage,Dustworks,2,1,13,1,601
32,Skirmisher,Bandage,Dustworks,2,1,11,1,636
33,Evincer,Echo Bolt,Dustworks,2,2,51,1,1380
34,Hexblade,Bandage,Dustworks,2,1,16,1,1283
35,Skirmisher,Bandage,Dustworks,2,2,50,1,1318
36,Dancer,Vigor Flask,Dustworks,2,0,6,1,351
37,Dancer,Vigor Flask,Dustworks,2,0,13,1,953
