Index,Class,Trinket,Map,Game ID,Kills,Coins,Completed,Lifetime
0,Alchemist,Vigor Flask,Sunken,1,1,10,1,1049
1,Griefer,Lava Cake,Sunken,1,2,7,1,1036
2,Ranger,Bandage,Sunken,1,0,2,1,358
3,Ranger,Bandage,Sunken,1,0,2,1,406
4,Evincer,Echo Bolt,Sunken,1,1,2,1,409
5,Dancer,Risk-It Biscuit,Sunken,1,1,5,1,427
6,Ranger,Bandage,Sunken,1,1,5,1,378
7,Griefer,Lava Cake,Sunken,1,0,6,1,789
8,Evincer,Echo Bolt,Sunken,1,3,16,1,895
9,Artillery,Accelerator,Sunken,1,0,0,1,402
10,Ranger,Bandage,Sunken,1,0,8,1,658
11,Champion,Flame Trap,Sunken,1,1,12,1,533
12,Griefer,Lava Cake,Sunken,1,1,31,1,3053
13,Evincer,Echo Bolt,Sunken,1,0,2,1,318
14,Ranger,Bandage,Sunken,1,2,7,1,649
15,Skirmisher,Vigor Flask,Sunken,1,3,22,1,1671
16,Evincer,Echo Bolt,Sunken,1,1,8,1,469
17,Ranger,Bandage,Sunken,1,0,3,1,264
18,Evincer,Echo Bolt,Sunken,1,0,0,1,288
19,Ranger,Bandage,Sunken,1,0,5,1,913
20,Evincer,Echo Bolt,Sunken,1,1,23,1,973
21,Ranger,Bandage,Sunken,1,1,25,1,784
22,Battlesmith,Lava Cake,Sunken,1,2,24,1,933
23,Evincer,Echo Bolt,Sunken,1,1,24,1,1009
24,Griefer,Lava Cake,Sunken,1,1,26,1,1693
25,Ranger,Bandage,Sunken,1,0,8,1,398
26,Spectre,Smoke Screen,Sunken,1,1,8,1,837
27,Ranger,Bandage,Sunken,1,2,43,1,1419
28,Evincer,Echo Bolt,Sunken,1,0,7,1,574
29,Dancer,Lava Cake,Sunken,1,3,20,1,1050
30,Evincer,Echo Bolt,Sunken,1,0,4,1,823
31,Griefer,Lava Cake,Sunken,1,2,14,1,560
32,Ranger,Bandage,Sunken,1,0,0,1,167
33,Evincer,Echo Bolt,Sunken,1,1,2,1,297
34,Ranger,Bandage,Sunken,1,1,43,1,424
35,Chronomancer,Hedge Seed,Sunken,1,5,94,1,3476
36,Griefer,Lava Cake,Sunken,1,0,31,1,1399
37,Evincer,Echo Bolt,Sunken,1,0,14,1,726
38,Ranger,Bandage,Sunken,1,0,4,1,550
39,Evincer,Echo Bolt,Sunken,1,0,1,1,2404
40,Ranger,Bandage,Sunken,1,1,25,1,2545
41,Griefer,Lava Cake,Sunken,1,2,77,1,2928
42,Evincer,Echo Bolt,Sunken,1,1,45,1,1125
43,Titan,Smoke Screen,Sunken,1,0,14,1,812
44,Ranger,Bandage,Sunken,1,2,37,1,1188
45,Hexblade,Spring Plume,Sunken,1,0,16,1,399
46,Griefer,Lava Cake,Sunken,1,1,51,0,0
47,Evincer,Echo Bolt,Sunken,1,0,15,0,0
48,Skirmisher,Nox Bomb,Sunken,1,0,2,0,0
49,Ranger,Bandage,Sunken,1,0,0,0,0
50,Evincer,Echo Bolt,Fissure,2,0,6,1,554
51,Chronomancer,Bandage,Fissure,2,2,18,1,1089
52,Artillery,Nox Bomb,Fissure,2,0,10,1,748
53,Ranger,Bandage,Fissure,2,1,0,1,458
54,Evincer,Echo Bolt,Fissure,2,0,15,1,626
55,Evincer,Spring Plume,Fissure,2,2,25,1,1075
56,Spectre,Echo Bolt,Fissure,2,2,21,1,949
57,Spectre,Bandage,Fissure,2,0,6,1,598
58,Spectre,Vigor Flask,Fissure,2,0,0,1,481
59,Spectre,Vigor Flask,Fissure,2,4,52,1,1597
60,Spectre,Vigor Flask,Fissure,2,2,37,1,2572
61,Spectre,Echo Bolt,Fissure,2,0,16,1,667
62,Evincer,Spring Plume,Fissure,2,0,2,1,181
63,Evincer,Lava Cake,Fissure,2,0,2,1,355
64,Spectre,Echo Bolt,Fissure,2,0,5,1,462
65,Hexblade,Lava Cake,Fissure,2,1,14,1,391
66,Spectre,Echo Bolt,Fissure,2,1,50,1,1417
67,Chronomancer,Hedge Seed,Fissure,2,1,14,1,287
68,Hexblade,Lava Cake,Fissure,2,0,18,1,976
69,Cloudbreaker,Echo Bolt,Fissure,2,2,26,1,1333
70,Evincer,Echo Bolt,Fissure,2,2,39,1,809
71,Spectre,Vigor Flask,Fissure,2,1,24,1,338
72,Hexblade,Lava Cake,Fissure,2,4,83,1,2421
73,Spectre,Echo Bolt,Fissure,2,0,2,1,246
74,Spectre,Vigor Flask,Fissure,2,2,76,1,1785
75,Evincer,Echo Bolt,Fissure,2,1,15,1,855
76,Spectre,Echo Bolt,Fissure,2,0,4,1,602
77,Chronomancer,Smoke Screen,Fissure,2,0,0,1,283
78,Battlesmith,Echo Bolt,Fissure,2,0,61,1,1407
79,Spectre,Echo Bolt,Fissure,2,1,6,1,989
80,Spectre,Vigor Flask,Fissure,2,1,32,1,480
81,Spectre,Echo Bolt,Fissure,2,0,66,1,532
82,Battlesmith,Nox Bomb,Fissure,2,0,15,1,460
83,Hexblade,Lava Cake,Fissure,2,3,50,0,0
84,Spectre,Vigor Flask,Fissure,2,0,2,0,0
85,Spectre,Echo Bolt,Fissure,2,0,0,0,0
86,Skirmisher,Echo Bolt,Dustworks,3,4,56,1,2873
87,Ranger,Vigor Flask,Dustworks,3,3,8,1,1287
88,Frost Knight,Hedge Seed,Dustworks,3,0,10,1,791
89,Dancer,Accelerator,Dustworks,3,0,0,1,171
90,Dancer,Accelerator,Dustworks,3,0,2,1,342
91,Dancer,Accelerator,Dustworks,3,0,0,1,302
92,Frost Knight,Hedge Seed,Dustworks,3,1,30,1,1675
93,Dancer,Accelerator,Dustworks,3,0,2,1,304
94,Ranger,Vigor Flask,Dustworks,3,1,1,1,349
95,Evincer,Echo Bolt,Dustworks,3,1,16,1,1430
96,Dancer,Accelerator,Dustworks,3,0,4,1,337
97,Ranger,Vigor Flask,Dustworks,3,1,4,1,581
98,Dancer,Accelerator,Dustworks,3,0,2,1,227
99,Dancer,Accelerator,Dustworks,3,1,17,1,772
100,Ranger,Vigor Flask,Dustworks,3,2,6,1,489
101,Frost Knight,Hedge Seed,Dustworks,3,2,50,1,1237
